elapsedSec,runLabel,chunkCount,avgFrameMs,maxFrameMsSoFar,stutterFrameCountSoFar,allocatedMemoryBytes
3.7,viewdist_400_rapidmovement,81,3710.615,3710.615,1,503195196
5.0,viewdist_400_rapidmovement,81,2486.521,3710.615,2,596636776
6.5,viewdist_400_rapidmovement,81,1304.377,3710.615,5,728536388
7.5,viewdist_400_rapidmovement,81,80.925,3710.615,6,732638193
8.5,viewdist_400_rapidmovement,81,43.747,3710.615,8,802132253
9.5,viewdist_400_rapidmovement,81,28.366,3710.615,8,804301257
10.5,viewdist_400_rapidmovement,81,22.042,3710.615,8,805217210
11.5,viewdist_400_rapidmovement,81,18.733,3710.615,8,749284249
12.5,viewdist_400_rapidmovement,81,16.463,3710.615,8,750013564
13.5,viewdist_400_rapidmovement,81,14.903,3710.615,8,750194945
14.6,viewdist_400_rapidmovement,81,13.753,3710.615,8,750910068
15.6,viewdist_400_rapidmovement,81,12.867,3710.615,8,751087353
16.6,viewdist_400_rapidmovement,81,12.148,3710.615,8,751292828
17.6,viewdist_400_rapidmovement,81,11.531,3710.615,8,751669713
18.6,viewdist_400_rapidmovement,81,11.003,3710.615,8,752088340
19.6,viewdist_400_rapidmovement,81,10.552,3710.615,8,752359317
20.6,viewdist_400_rapidmovement,81,10.212,3710.615,8,751881443
21.6,viewdist_400_rapidmovement,81,9.904,3710.615,8,753168951
22.6,viewdist_400_rapidmovement,81,9.627,3710.615,8,753231256
23.6,viewdist_400_rapidmovement,81,9.379,3710.615,8,753857933
24.6,viewdist_400_rapidmovement,81,9.145,3710.615,8,754107584
25.6,viewdist_400_rapidmovement,81,8.946,3710.615,8,754547924
26.6,viewdist_400_rapidmovement,81,8.768,3710.615,8,753974137
27.6,viewdist_400_rapidmovement,81,8.627,3710.615,8,755146133
28.6,viewdist_400_rapidmovement,81,8.518,3710.615,8,755701393
29.6,viewdist_400_rapidmovement,81,8.424,3710.615,8,756144349
